pants-fire,https://www.politifact.com/factchecks/2021/mar/31/facebook-posts/no-ben-shapiro-didnt-say-sharing-cupcakes-poor-kid/,"Twitter search, Ben Shapiro, March 31, 2021", ,https://twitter.com/benshapiro,No URL for this!
pants-fire,https://www.politifact.com/factchecks/2021/mar/17/viral-image/no-meghan-markle-didnt-tweet-about-oprah-winfrey-t/,"PolitiFact, ""A fake in 140 characters: How not to get tripped up by hoax Twitter accounts,"" March 14, 2017", ,No URL for this!, 
pants-fire,https://www.politifact.com/factchecks/2021/feb/24/viral-image/no-joe-biden-didnt-tweet-about-coca-cola-and-minor/,"Politwoops, Deleted tweets from Joe Biden, visited Feb. 24, 2021", ,No URL for this!, 
pants-fire,https://www.politifact.com/factchecks/2021/feb/16/kevin-sorbo/yes-california-requires-signature-verification-mai/,"Kevin Sorbo on Twitter (archived), Feb. 15, 2021 ", ,https://twitter.com/ksorbs/status/1361309195660853249?s=20,1361309195660853249
pants-fire,https://www.politifact.com/factchecks/2021/feb/16/mark-pocan/yes-ron-johnson-attended-impeachment-hearings/,"Mark Pocan, tweet, Feb. 12, 2021", ,https://twitter.com/MarkPocan/status/1360244584991883266,1360244584991883266
pants-fire,https://www.politifact.com/factchecks/2021/jan/18/donald-trump-jr/donald-trump-jr-tweets-altered-video-joe-biden-eve/,"Tweet from Donald Trump Jr., Jan. 17, 2021",https://archive.vn/GVc05,https://twitter.com/DonaldJTrumpJr/status/1350824014646808579,1350824014646808579
pants-fire,https://www.politifact.com/factchecks/2021/jan/13/viral-image/no-aoc-didnt-tweet-about-purging-conservative-trai/,"Alexandria Ocasio-Cortez tweet, Nov. 7, 2020",https://archive.is/6OsBu,https://twitter.com/AOC/status/1325121452719235073,1325121452719235073
pants-fire,https://www.politifact.com/factchecks/2021/jan/08/ken-paxton/texas-attorney-general-falsely-states-antifa-storm/,,,,
pants-fire,https://www.politifact.com/factchecks/2021/jan/07/mo-brooks/mo-brooks-claim-antifa-orchestrated-capitol-riots-/,"Twitter, @RepMoBrooks tweet, Jan. 6, 2021; tweet, Jan. 7, 2021", ,https://twitter.com/RepMoBrooks/status/1346899440989310980?s=20,1346899440989310980
pants-fire,https://www.politifact.com/factchecks/2021/jan/07/shannon-grove/high-ranking-california-republican-lawmaker-pushes/,"Image of deleted tweet by Sen. Shannon Grove, Jan. 6, 2021",No URL for this!, , 
pants-fire,https://www.politifact.com/factchecks/2021/jan/06/donald-trump/no-evidence-georgia-happened-find-ballots-hurt-rep/,"Donald J. Trump on Twitter, Jan. 6, 2021", ,https://twitter.com/realDonaldTrump/status/1346818855298072576?s=20,1346818855298072576
pants-fire,https://www.politifact.com/factchecks/2020/dec/30/north-carolina-republican-party/nc-gop-wrong-about-roy-cooper-staying-mansion/,"Tweet by the North Carolina Republican Party on Dec. 27, 2020.", ,https://twitter.com/NCGOP/status/1343195062591696897?s=20,1343195062591696897
pants-fire,https://www.politifact.com/factchecks/2020/dec/22/claudia-tenney/ny-22-some-voters-cast-ballots-mail-and-died-elect/,"Twitter, tweet, @ClaudiaTenney, Dec. 8, 2020. ", ,https://twitter.com/claudiatenney/status/1336484299458158592?s=20,1336484299458158592
pants-fire,https://www.politifact.com/factchecks/2020/dec/18/ted-cruz/mask-guidance-vaccinated-people-based-science/,"Tweet, Dec. 15, 2020", ,https://twitter.com/tedcruz/status/1339066634296844288,1339066634296844288
pants-fire,https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-said-no-candidate-has-won-florida-and-ohio-a/,"President Donald Trump, Tweet, Dec. 9, 2020", ,https://mobile.twitter.com/realdonaldtrump/status/1336691981981016066,1336691981981016066
pants-fire,https://www.politifact.com/factchecks/2020/dec/03/tweets/no-gina-haspel-isnt-dead-or-jail/,"A Tweet, Nov. 30, 2020",https://archive.is/tHrYk#selection-2983.120-2983.184,https://twitter.com/166Factor/status/1333516028245061634,1333516028245061634
pants-fire,https://www.politifact.com/factchecks/2020/dec/02/rand-paul/fact-checking-rand-pauls-unsupported-claim-about-f/,"Twitter, @RandPaul tweet, Nov. 29, 2020", ,https://twitter.com/RandPaul/status/1333145534765428737?s=09,1333145534765428737
