https://www.politifact.com/factchecks/2021/feb/02/chuck-grassley/why-are-insulin-prices-going-chuck-grassley-explai/,,,,
https://www.politifact.com/factchecks/2021/feb/02/jenna-wadsworth/elaine-marshall-has-won-more-statewide-races-anyon/,"Tweet by former North Carolina Agriculture Commissioner candidate Jenna Wadsworth on Jan. 26, 2021.", ,https://twitter.com/jennawadsworth/status/1354214773517393922,1354214773517393922
https://www.politifact.com/factchecks/2021/jan/27/marco-rubio/how-joe-bidens-first-executive-orders-compare-past/,"Twitter, @marcorubio tweet, Jan. 22, 2021", ,https://twitter.com/marcorubio/status/1352600933365112832?s=20,1352600933365112832
https://www.politifact.com/factchecks/2021/jan/15/sarah-godlewski/black-and-latina-women-carried-brunt-job-loss-dece/,"Sarah Godlewski, Twitter, Jan. 9, 2021.", ,https://twitter.com/SarahforWI/status/1347927993470087170,1347927993470087170
https://www.politifact.com/factchecks/2020/dec/21/chris-larson/yes-majority-wisconsin-jurisdictions-support-nonpa/,"Twitter, Tweet from Sen. Chris Larson, Nov. 9, 2020", ,https://twitter.com/SenChrisLarson/status/1325837716253237251,1325837716253237251
https://www.politifact.com/factchecks/2020/dec/18/mike-gallagher/data-shows-person-learning-safer-expected-not-driv/,"Mike Gallagher, tweet, Dec. 7, 2020", ,https://twitter.com/RepGallagher/status/1336011498515271680,1336011498515271680
https://www.politifact.com/factchecks/2020/nov/20/tweets/yes-donald-trump-claimed-fraud-after-2016-iowa-cau/,Various 2020 posts by Twitter users,No URL for this!, , 
https://www.politifact.com/factchecks/2020/sep/25/michael-burgess/how-many-adults-get-flu-shots-each-year/,"Twitter, Michael Burgess, Sept. 19, 2020", ,https://twitter.com/michaelcburgess/status/1307405348718870529,1307405348718870529
https://www.politifact.com/factchecks/2020/sep/25/chris-larson/yes-republicans-could-end-evers-state-emergency-an/,"Chris Larson, tweet, Sept. 23, 2020", ,https://twitter.com/SenChrisLarson/status/1308783190186905603,1308783190186905603
https://www.politifact.com/factchecks/2020/aug/06/instagram-posts/yes-trump-lawyer-helped-kanye-west-try-get-wiscons/,,,,
